Full_Tag,Yield_Count
Mnemosyne::First_Aid::Respiratory::Pathology::Pneumonia,11
Mnemosyne::First_Aid::Public_Health_Sciences::Communication_Skills::Delivering_Bad_News,11
Mnemosyne::First_Aid::Pathology::Inflammation::Granulomatous_Inflammation,11
Mnemosyne::First_Aid::Respiratory::Pathology::Restrictive_Lung_Diseases,11
Mnemosyne::First_Aid::Biochemistry::Molecular::Regulation_Of_Gene_Expression,11
Mnemosyne::First_Aid::Pathology::Inflammation::Wound_Healing,11
Mnemosyne::First_Aid::Reproductive::Pathology::Diagnosing_Disorders_By_Physical_Characteristics,11
"Mnemosyne::First_Aid::Musculoskeletal,_Skin,_And_Connective_Tissue::Anatomy_And_Physiology::Lower_Extremity_Nerves",11
Mnemosyne::First_Aid::Microbiology::Systems::Sexually_Transmitted_Infections,11
Mnemosyne::First_Aid::Reproductive::Physiology::Tanner_Stages_Of_Sexual_Development,11
Mnemosyne::First_Aid::Neurology_And_Special_Senses::Pathology::Motor_Neuron_Signs,11
Mnemosyne::First_Aid::Respiratory::Physiology::Ventilation,11
Mnemosyne::First_Aid::Psychiatry::Pathology::Major_Depressive_Disorder,11
Mnemosyne::First_Aid::Gastrointestinal::Pathology::Jaundice,11
Mnemosyne::First_Aid::Public_Health_Sciences::Epidemiology_And_Biostatistics::Statistical_Distribution,11
Mnemosyne::First_Aid::Pathology::Neoplasia::Paraneoplastic_Syndromes,10
"Mnemosyne::First_Aid::Musculoskeletal,_Skin,_And_Connective_Tissue::Anatomy_And_Physiology::Upper_Extremity_Nerves",10
Mnemosyne::First_Aid::Biochemistry::Metabolism::Metabolic_Fuel_Use,10
Mnemosyne::First_Aid::Biochemistry::Metabolism::Fatty_Acid_Metabolism,10
Mnemosyne::First_Aid::Immunology::Immune_Responses::Complement,10
Mnemosyne::First_Aid::Neurology_And_Special_Senses::Pathology::Seizures,10
Mnemosyne::First_Aid::Biochemistry::Genetics::Population_Genetics,10
Mnemosyne::First_Aid::Renal::Pathology::Hydronephrosis,10
Mnemosyne::First_Aid::Renal::Pathology::Acute_Tubular_Necrosis,10
Mnemosyne::First_Aid::Immunology::Immune_Responses::Infections_In_Immunodeficiency,10
"Mnemosyne::First_Aid::Musculoskeletal,_Skin,_And_Connective_Tissue::Pathology::Vasculitides",10
Mnemosyne::First_Aid::Renal::Pathology::Glomerular_Diseases,10
Mnemosyne::First_Aid::Pharmacology::Pharmacokinetics_And_Pharmacodynamics::Pharmacokinetics,10
Mnemosyne::First_Aid::Cardiovascular::Physiology::Auscultation_Of_The_Heart,10
Mnemosyne::First_Aid::Reproductive::Pathology::Diagnosing_Disorders_By_Sex_Hormones,10
Mnemosyne::First_Aid::Endocrine::Physiology::Adrenal_Steroids_And_Congenital_Adrenal_Hyperplasias,10
Mnemosyne::First_Aid::Hematology_And_Oncology::Physiology::Platelet_Plug_Formation_(Primary_Hemostasis),10
Mnemosyne::First_Aid::Biochemistry::Cellular::Collagen_Synthesis_And_Structure,10
Mnemosyne::First_Aid::Cardiovascular::Anatomy::Heart_Anatomy,10
Mnemosyne::First_Aid::Renal::Pathology::Consequences_Of_Renal_Failure,10
Mnemosyne::First_Aid::Reproductive::Physiology::Androgens,10
Mnemosyne::First_Aid::Neurology_And_Special_Senses::Anatomy_And_Physiology::Cranial_Nerves,10
Mnemosyne::First_Aid::Pathology::Inflammation::Scar_Formation,10
Mnemosyne::First_Aid::Reproductive::Physiology::Pregnancy,9
Mnemosyne::First_Aid::Biochemistry::Genetics::Autosomal_Recessive_Diseases,9
Mnemosyne::First_Aid::Gastrointestinal::Pathology::Other_Intestinal_Disorders,9
Mnemosyne::First_Aid::Immunology::Immune_Responses::Immunoglobulin_Isotypes,9
Mnemosyne::First_Aid::Reproductive::Physiology::Menstrual_Cycle,9
"Mnemosyne::First_Aid::Musculoskeletal,_Skin,_And_Connective_Tissue::Pathology::Neuromuscular_Junction_Diseases",9
Mnemosyne::First_Aid::Psychiatry::Pathology::Alcohol_Use_Disorder,9
Mnemosyne::First_Aid::Renal::Physiology::Fluid_Compartments,9
"Mnemosyne::First_Aid::Musculoskeletal,_Skin,_And_Connective_Tissue::Pathology::Osteoarthritis_Versus_Rheumatoid_Arthritis",9
Mnemosyne::First_Aid::Public_Health_Sciences::Epidemiology_And_Biostatistics::Incidence_Versus_Prevalence,9
Mnemosyne::First_Aid::Hematology_And_Oncology::Physiology::Vitamin_K–Dependent_Coagulation,9
Mnemosyne::First_Aid::Microbiology::Systems::Urinary_Tract_Infections,9
Mnemosyne::First_Aid::Hematology_And_Oncology::Pathology::Non-Hodgkin_Lymphoma,9
Mnemosyne::First_Aid::Cardiovascular::Physiology::Capillary_Fluid_Exchange,9
Mnemosyne::First_Aid::Biochemistry::Molecular::Mutations_In_DNA,9
Mnemosyne::First_Aid::Biochemistry::Metabolism::Catecholamine_Synthesis/Tyrosine_Catabolism,9
Mnemosyne::First_Aid::Microbiology::Virology::Hepatitis_Viruses,9
Mnemosyne::First_Aid::Pathology::Cellular_Injury::Apoptosis,9
Mnemosyne::First_Aid::Biochemistry::Genetics::Genetic_Terms,9
Mnemosyne::First_Aid::Endocrine::Physiology::Hypothalamic-Pituitary_Hormones,9
Mnemosyne::First_Aid::Endocrine::Pathology::Hyperglycemic_Emergencies,9
Mnemosyne::First_Aid::Endocrine::Physiology::Signaling_Pathways_Of_Steroid_Hormones,9
Mnemosyne::First_Aid::Immunology::Cellular_Components::T-Cell_And_B-Cell_Activation,8
Mnemosyne::First_Aid::Endocrine::Physiology::Antidiuretic_Hormone,8
"Mnemosyne::First_Aid::Hematology_And_Oncology::Pathology::Nonhemolytic,_Normocytic_Anemias",8
Mnemosyne::First_Aid::Microbiology::Virology::RNA_Viruses,8
Mnemosyne::First_Aid::Respiratory::Pathology::Acute_Respiratory_Distress_Syndrome,8
Mnemosyne::First_Aid::Pharmacology::Autonomic_Drugs::Muscarinic_Antagonists,8
Mnemosyne::First_Aid::Microbiology::Clinical_Bacteriology::Neisseria,8
Mnemosyne::First_Aid::Biochemistry::Nutrition::Vitamin_D,8
Mnemosyne::First_Aid::Microbiology::Mycology::Opportunistic_Fungal_Infections,8
Mnemosyne::First_Aid::Microbiology::Basic_Bacteriology::Bacteria_With_Exotoxins,8
Mnemosyne::First_Aid::Endocrine::Physiology::Cortisol,8
Mnemosyne::First_Aid::Biochemistry::Cellular::Cell_Cycle_Phases,8
Mnemosyne::First_Aid::Gastrointestinal::Pathology::Acute_Gastrointestinal_Bleeding,8
Mnemosyne::First_Aid::Gastrointestinal::Pathology::Colorectal_Cancer,8
Mnemosyne::First_Aid::Biochemistry::Genetics::X-Linked_Recessive_Diseases,8
Mnemosyne::First_Aid::Respiratory::Pathology::Pneumothorax,8
Mnemosyne::First_Aid::Hematology_And_Oncology::Anatomy::Neutrophils,8
Mnemosyne::First_Aid::Reproductive::Anatomy::Male_Reproductive_Anatomy,8
Mnemosyne::First_Aid::Reproductive::Anatomy::Autonomic_Innervation_Of_Male_Sexual_Response,8
Mnemosyne::First_Aid::Pathology::Cellular_Injury::Cell_Injury,8
Mnemosyne::First_Aid::Cardiovascular::Physiology::Pressure-Volume_Loops_And_Cardiac_Cycle,8
Mnemosyne::First_Aid::Gastrointestinal::Anatomy::Portosystemic_Anastomoses,8
Mnemosyne::First_Aid::Pathology::Neoplasia::Oncogenes,8
Mnemosyne::First_Aid::Immunology::Immune_Responses::Transplant_Rejection,8
"Mnemosyne::First_Aid::Musculoskeletal,_Skin,_And_Connective_Tissue::Pharmacology::Nonsteroidal_Anti-Inflammatory_Drugs",8
Mnemosyne::First_Aid::Renal::Pathology::Pyelonephritis,8
Mnemosyne::First_Aid::Microbiology::Parasitology::Protozoa-Hematologic_Infections,8
Mnemosyne::First_Aid::Public_Health_Sciences::Epidemiology_And_Biostatistics::Bias_And_Study_Errors,8
Mnemosyne::First_Aid::Public_Health_Sciences::Ethics::Core_Ethical_Principles,7
Mnemosyne::First_Aid::Reproductive::Embryology::Sexual_Differentiation,7
Mnemosyne::First_Aid::Biochemistry::Metabolism::Fasted_Versus_Fed_State,7
"Mnemosyne::First_Aid::Musculoskeletal,_Skin,_And_Connective_Tissue::Anatomy_And_Physiology::Actions_Of_Hip_Muscles",7
Mnemosyne::First_Aid::Pathology::Inflammation::Chronic_Inflammation,7
Mnemosyne::First_Aid::Neurology_And_Special_Senses::Pathology::Dyskinesias,7
Mnemosyne::First_Aid::Pharmacology::Pharmacokinetics_And_Pharmacodynamics::Drug_Metabolism,7
Mnemosyne::First_Aid::Microbiology::Antimicrobials::HIV_Therapy,7
Mnemosyne::First_Aid::Hematology_And_Oncology::Anatomy::B_Cells,7
Mnemosyne::First_Aid::Microbiology::Clinical_Bacteriology::Tuberculosis,7
Mnemosyne::First_Aid::Endocrine::Pathology::Hypothyroidism_Versus_Hyperthyroidism,7
"Mnemosyne::First_Aid::Musculoskeletal,_Skin,_And_Connective_Tissue::Dermatology::Pigmented_Skin_Disorders",7
Mnemosyne::First_Aid::Cardiovascular::Physiology::Pressure-Volume_Loops_And_Valvular_Disease,7
Mnemosyne::First_Aid::Renal::Pathology::Nephritic_Syndrome,7
"Mnemosyne::First_Aid::Musculoskeletal,_Skin,_And_Connective_Tissue::Pathology::Gout",7
Mnemosyne::First_Aid::Immunology::Immune_Responses::Vaccination,7
Mnemosyne::First_Aid::Gastrointestinal::Pathology::Alcoholic_Liver_Disease,7
Mnemosyne::First_Aid::Reproductive::Anatomy::Female_Reproductive_Anatomy,7
Mnemosyne::First_Aid::Microbiology::Systems::Common_Causes_Of_Pneumonia,7
Mnemosyne::First_Aid::Biochemistry::Molecular::DNA_Replication,7
Mnemosyne::First_Aid::Hematology_And_Oncology::Pathology::Plasma_Cell_Dyscrasias,7
Mnemosyne::First_Aid::Renal::Pathology::Casts_In_Urine,7
Mnemosyne::First_Aid::Public_Health_Sciences::Epidemiology_And_Biostatistics::Confidence_Interval,7
Mnemosyne::First_Aid::Public_Health_Sciences::Communication_Skills::Challenging_Patient_And_Ethical_Scenarios,7
Mnemosyne::First_Aid::Microbiology::Clinical_Bacteriology::Escherichia_Coli,7
Mnemosyne::First_Aid::Renal::Pathology::Nephrotic_Syndrome,7
Mnemosyne::First_Aid::Endocrine::Pathology::Hyperparathyroidism,7
Mnemosyne::First_Aid::Immunology::Cellular_Components::Cytotoxic_T_Cells,7
Mnemosyne::First_Aid::Endocrine::Pathology::Hypothyroidism,7
Mnemosyne::First_Aid::Neurology_And_Special_Senses::Anatomy_And_Physiology::Spinal_Cord_And_Associated_Tracts,7
Mnemosyne::First_Aid::Neurology_And_Special_Senses::Anatomy_And_Physiology::Brainstem_Cross_Sections,7
Mnemosyne::First_Aid::Renal::Physiology::Changes_In_Glomerular_Dynamics,7
"Mnemosyne::First_Aid::Musculoskeletal,_Skin,_And_Connective_Tissue::Anatomy_And_Physiology::Motoneuron_Action_Potential_To_Muscle_Contraction",7
Mnemosyne::First_Aid::Gastrointestinal::Pathology::Ulcer_Complications,7
Mnemosyne::First_Aid::Neurology_And_Special_Senses::Pathology::Adult_Primary_Brain_Tumors,7
Mnemosyne::First_Aid::Gastrointestinal::Anatomy::Digestive_Tract_Anatomy,7
"Mnemosyne::First_Aid::Musculoskeletal,_Skin,_And_Connective_Tissue::Anatomy_And_Physiology::Bone_Formation",7
Mnemosyne::First_Aid::Microbiology::Systems::Common_Causes_Of_Meningitis,7
Mnemosyne::First_Aid::Neurology_And_Special_Senses::Pharmacology::Opioid_Analgesics,7
Mnemosyne::First_Aid::Cardiovascular::Pathology::High-Output_Heart_Failure,7
Mnemosyne::First_Aid::Microbiology::Mycology::Systemic_Mycoses,7
"Mnemosyne::First_Aid::Musculoskeletal,_Skin,_And_Connective_Tissue::Pharmacology::Arachidonic_Acid_Pathways",6
Mnemosyne::First_Aid::Public_Health_Sciences::Epidemiology_And_Biostatistics::Common_Statistical_Tests,6
Mnemosyne::First_Aid::Cardiovascular::Pathology::Syncope,6
Mnemosyne::First_Aid::Neurology_And_Special_Senses::Pathology::Spinal_Cord_Lesions,6
Mnemosyne::First_Aid::Cardiovascular::Physiology::Electrocardiogram,6
Mnemosyne::First_Aid::Gastrointestinal::Anatomy::Digestive_Tract_Histology,6
Mnemosyne::First_Aid::Respiratory::Pathology::Pneumoconioses,6
Mnemosyne::First_Aid::Renal::Anatomy::Renal_Blood_Flow,6
Mnemosyne::First_Aid::Public_Health_Sciences::Healthcare_Delivery::Disease_Prevention,6
Mnemosyne::First_Aid::Biochemistry::Genetics::Cystic_Fibrosis,6
Mnemosyne::First_Aid::Gastrointestinal::Pathology::Liver_Tumors,6
Mnemosyne::First_Aid::Biochemistry::Genetics::Mitochondrial_Diseases,6
"Mnemosyne::First_Aid::Cardiovascular::Physiology::Resistance,_Pressure,_And_Flow",6
Mnemosyne::First_Aid::Gastrointestinal::Pathology::Hepatic_Encephalopathy,6
Mnemosyne::First_Aid::Biochemistry::Nutrition::Ethanol_Metabolism,6
Mnemosyne::First_Aid::Biochemistry::Genetics::Trinucleotide_Repeat_Expansion_Diseases,6
"Mnemosyne::First_Aid::Musculoskeletal,_Skin,_And_Connective_Tissue::Pathology::Systemic_Lupus_Erythematosus",6
Mnemosyne::First_Aid::Hematology_And_Oncology::Pharmacology::Warfarin,6
Mnemosyne::First_Aid::Immunology::Immune_Responses::Complement_Disorders,6
Mnemosyne::First_Aid::Respiratory::Pathology::Pulmonary_Hypertension,6
Mnemosyne::First_Aid::Pharmacology::Autonomic_Drugs::β-Blockers,6
Mnemosyne::First_Aid::Pharmacology::Autonomic_Drugs::Autonomic_Receptors,6
"Mnemosyne::First_Aid::Musculoskeletal,_Skin,_And_Connective_Tissue::Pathology::Primary_Bone_Tumors",6
"Mnemosyne::First_Aid::Musculoskeletal,_Skin,_And_Connective_Tissue::Anatomy_And_Physiology::Rotator_Cuff_Muscles",6
Mnemosyne::First_Aid::Neurology_And_Special_Senses::Anatomy_And_Physiology::Peripheral_Nerve,6
Mnemosyne::First_Aid::Biochemistry::Molecular::Protein_Synthesis,6
Mnemosyne::First_Aid::Cardiovascular::Pathology::Conduction_Blocks,6
Mnemosyne::First_Aid::Reproductive::Pharmacology::Combined_Contraception,6
"Mnemosyne::First_Aid::Musculoskeletal,_Skin,_And_Connective_Tissue::Anatomy_And_Physiology::Cell_Biology_Of_Bone",6
Mnemosyne::First_Aid::Reproductive::Pathology::Ectopic_Pregnancy,6
Mnemosyne::First_Aid::Public_Health_Sciences::Ethics::Informed_Consent,6
Mnemosyne::First_Aid::Reproductive::Pathology::Ovarian_Tumors,6
Mnemosyne::First_Aid::Biochemistry::Metabolism::Urea_Cycle,6
Mnemosyne::First_Aid::Immunology::Immune_Responses::Important_Cytokines,6
Mnemosyne::First_Aid::Immunology::Immune_Responses::Autoantibodies,6
Mnemosyne::First_Aid::Immunology::Immune_Responses::Immunologic_Blood_Transfusion_Reactions,6
Mnemosyne::First_Aid::Biochemistry::Metabolism::Amino_Acid_Derivatives,6
Mnemosyne::First_Aid::Pharmacology::Autonomic_Drugs::G-Protein–Linked_Second_Messengers,6
"Mnemosyne::First_Aid::Musculoskeletal,_Skin,_And_Connective_Tissue::Pathology::Lab_Values_In_Bone_Disorders",6
"Mnemosyne::First_Aid::Neurology_And_Special_Senses::Ophthalmology::Cranial_Nerve_III,_IV,_And_VI_Palsies",6
Mnemosyne::First_Aid::Biochemistry::Cellular::Cytoskeletal_Elements,6
Mnemosyne::First_Aid::Gastrointestinal::Pathology::Cholelithiasis_And_Related_Pathologies,6
Mnemosyne::First_Aid::Biochemistry::Metabolism::Lipoprotein_Functions,6
Mnemosyne::First_Aid::Respiratory::Embryology::Alveolar_Cell_Types,6
Mnemosyne::First_Aid::Respiratory::Embryology::Neonatal_Respiratory_Distress_Syndrome,6
Mnemosyne::First_Aid::Psychiatry::Pathology::Eating_Disorders,6
Mnemosyne::First_Aid::Renal::Physiology::Renal_Blood_Flow_Autoregulation,6
Mnemosyne::First_Aid::Neurology_And_Special_Senses::Otology::Common_Causes_Of_Hearing_Loss,6
Mnemosyne::First_Aid::Hematology_And_Oncology::Anatomy::Erythrocytes,6
Mnemosyne::First_Aid::Biochemistry::Cellular::Cell_Trafficking,6
Mnemosyne::First_Aid::Respiratory::Anatomy::Respiratory_Tree,6
Mnemosyne::First_Aid::Microbiology::Clinical_Bacteriology::Zoonotic_Bacteria,6
"Mnemosyne::First_Aid::Musculoskeletal,_Skin,_And_Connective_Tissue::Pathology::Osteoporosis",6
Mnemosyne::First_Aid::Pathology::Cellular_Injury::Necrosis,6
Mnemosyne::First_Aid::Neurology_And_Special_Senses::Pathology::Multiple_Sclerosis,6
Mnemosyne::First_Aid::Cardiovascular::Pharmacology::Nitrates,6
Mnemosyne::First_Aid::Biochemistry::Metabolism::Electron_Transport_Chain_And_Oxidative_Phosphorylation,6
Mnemosyne::First_Aid::Microbiology::Parasitology::Protozoa-Gastrointestinal_Infections,6
Mnemosyne::First_Aid::Gastrointestinal::Anatomy::Hernias,6
Mnemosyne::First_Aid::Hematology_And_Oncology::Pathology::Macrocytic_Anemias,6
Mnemosyne::First_Aid::Respiratory::Physiology::Lung_And_Chest_Wall_Properties,6
Mnemosyne::First_Aid::Neurology_And_Special_Senses::Anatomy_And_Physiology::Cerebral_Cortex_Regions,6
Mnemosyne::First_Aid::Endocrine::Pathology::Hypoglycemia_In_Diabetes_Mellitus,6
Mnemosyne::First_Aid::Hematology_And_Oncology::Physiology::Hemoglobin_Electrophoresis,6
Mnemosyne::First_Aid::Respiratory::Pathology::Idiopathic_Pulmonary_Fibrosis,5
Mnemosyne::First_Aid::Renal::Pathology::Urinary_Incontinence,5
Mnemosyne::First_Aid::Immunology::Immune_Responses::Antibody_Structure_And_Function,5
Mnemosyne::First_Aid::Biochemistry::Genetics::Hardy-Weinberg_Principle,5
Mnemosyne::First_Aid::Hematology_And_Oncology::Embryology::Blood_Groups,5
Mnemosyne::First_Aid::Reproductive::Pathology::Benign_Prostatic_Hyperplasia,5
Mnemosyne::First_Aid::Pharmacology::Pharmacokinetics_And_Pharmacodynamics::Dosage_Calculations,5
Mnemosyne::First_Aid::Renal::Pharmacology::Potassium-Sparing_Diuretics,5
Mnemosyne::First_Aid::Pharmacology::Autonomic_Drugs::Cholinomimetic_Agents,5
Mnemosyne::First_Aid::Biochemistry::Metabolism::Organic_Acidemias,5
Mnemosyne::First_Aid::Microbiology::Virology::DNA_Viruses,5
Mnemosyne::First_Aid::Reproductive::Pathology::Cervical_Pathology,5
Mnemosyne::First_Aid::Microbiology::Basic_Bacteriology::Endotoxin,5
Mnemosyne::First_Aid::Renal::Pathology::Renal_Papillary_Necrosis,5
Mnemosyne::First_Aid::Hematology_And_Oncology::Pathology::Thrombotic_Microangiopathies,5
Mnemosyne::First_Aid::Endocrine::Physiology::Signaling_Pathways_Of_Endocrine_Hormones,5
Mnemosyne::First_Aid::Psychiatry::Pharmacology::Selective_Serotonin_Reuptake_Inhibitors,5
"Mnemosyne::First_Aid::Musculoskeletal,_Skin,_And_Connective_Tissue::Pathology::Osteomalacia/Rickets",5
Mnemosyne::First_Aid::Reproductive::Physiology::Physiologic_Changes_In_Pregnancy,5
Mnemosyne::First_Aid::Renal::Pathology::Acute_Interstitial_Nephritis,5
Mnemosyne::First_Aid::Endocrine::Pathology::Neuroendocrine_Tumors,5
Mnemosyne::First_Aid::Renal::Pharmacology::Angiotensin-Converting_Enzyme_Inhibitors,5
Mnemosyne::First_Aid::Biochemistry::Nutrition::Vitamin_B3,5
Mnemosyne::First_Aid::Microbiology::Basic_Bacteriology::Bacterial_Genetics,5
Mnemosyne::First_Aid::Respiratory::Pathology::Digital_Clubbing,5
Mnemosyne::First_Aid::Respiratory::Physiology::Response_To_High_Altitude,5
Mnemosyne::First_Aid::Renal::Physiology::Renal_Tubular_Acidosis,5
Mnemosyne::First_Aid::Pathology::Neoplasia::Tumor_Suppressor_Genes,5
Mnemosyne::First_Aid::Neurology_And_Special_Senses::Ophthalmology::Visual_Field_Defects,5
Mnemosyne::First_Aid::Pathology::Neoplasia::Hallmarks_Of_Cancer,5
Mnemosyne::First_Aid::Immunology::Immune_Responses::Cell_Surface_Proteins,5
Mnemosyne::First_Aid::Cardiovascular::Physiology::Cardiac_And_Vascular_Function_Curves,5
Mnemosyne::First_Aid::Cardiovascular::Pathology::Rheumatic_Fever,5
Mnemosyne::First_Aid::Reproductive::Pathology::Breast_Cancer,5
Mnemosyne::First_Aid::Endocrine::Pathology::Adrenal_Insufficiency,5
Mnemosyne::First_Aid::Microbiology::Clinical_Bacteriology::Streptococcus_Pneumoniae,5
Mnemosyne::First_Aid::Pharmacology::Autonomic_Drugs::α-Blockers,5
Mnemosyne::First_Aid::Reproductive::Physiology::Progesterone,5
Mnemosyne::First_Aid::Gastrointestinal::Pathology::Serum_Markers_Of_Liver_Pathology,5
Mnemosyne::First_Aid::Hematology_And_Oncology::Pathology::Polycythemia,5
Mnemosyne::First_Aid::Neurology_And_Special_Senses::Anatomy_And_Physiology::Dopaminergic_Pathways,5
Mnemosyne::First_Aid::Pathology::Aging::Normal_Aging,5
Mnemosyne::First_Aid::Reproductive::Embryology::Teratogens,5
Mnemosyne::First_Aid::Respiratory::Pathology::Pleural_Effusions,5
Mnemosyne::First_Aid::Biochemistry::Genetics::Muscular_Dystrophies,5
Mnemosyne::First_Aid::Psychiatry::Pathology::Schizophrenia_Spectrum_Disorders,5
Mnemosyne::First_Aid::Renal::Pharmacology::Acetazolamide,5
Mnemosyne::First_Aid::Psychiatry::Pathology::Personality_Disorders,5
